Timestamp,Sender,retr,retr.total,cwnd,ssthresh
1623531593.610001,172.10.0.2:57424,40,109,64,87
1623531593.647067,172.10.0.2:57424,41,110,63,87
1623531593.684956,172.10.0.2:57424,41,110,63,87
1623531593.723370,172.10.0.2:57424,39,110,71,87
1623531593.761188,172.10.0.2:57424,35,110,74,87
1623531593.798114,172.10.0.2:57424,33,110,76,87
1623531593.836309,172.10.0.2:57424,30,110,79,87
1623531593.874554,172.10.0.2:57424,28,110,81,87
1623531593.911779,172.10.0.2:57424,25,110,84,87
1623531593.948166,172.10.0.2:57424,23,110,86,87
1623531593.983611,172.10.0.2:57424,21,110,87,87
1623531594.021807,172.10.0.2:57424,20,110,87,87
1623531594.059295,172.10.0.2:57424,18,110,87,87
1623531594.097260,172.10.0.2:57424,17,110,87,87
1623531594.134992,172.10.0.2:57424,14,110,87,87
1623531594.173387,172.10.0.2:57424,11,110,87,87
1623531594.210498,172.10.0.2:57424,8,110,87,87
1623531594.249672,172.10.0.2:57424,6,110,87,87
1623531594.286159,172.10.0.2:57424,5,110,87,87
1623531594.324790,172.10.0.2:57424,3,110,87,87
1623531594.361995,172.10.0.2:57424,1,110,87,87
1623531594.400693,172.10.0.2:57424,0,110,87,87
1623531594.439797,172.10.0.2:57424,0,110,87,87
1623531594.477089,172.10.0.2:57424,0,110,87,87
1623531594.515595,172.10.0.2:57424,0,110,87,87
1623531594.552569,172.10.0.2:57424,2,112,85,69
1623531594.588619,172.10.0.2:57424,3,113,82,69
1623531594.630195,172.10.0.2:57424,6,116,79,69
1623531594.668449,172.10.0.2:57424,9,119,74,69
1623531594.706473,172.10.0.2:57424,11,121,71,69
1623531594.745952,172.10.0.2:57424,14,124,69,69
1623531594.783258,172.10.0.2:57424,16,126,67,69
1623531594.820914,172.10.0.2:57424,19,129,65,69
1623531594.864994,172.10.0.2:57424,19,129,65,69
1623531594.902015,172.10.0.2:57424,19,129,65,69
1623531594.939646,172.10.0.2:57424,19,129,65,69
1623531594.976117,172.10.0.2:57424,19,129,65,69
1623531595.012161,172.10.0.2:57424,19,129,65,69
1623531595.052925,172.10.0.2:57424,19,129,65,69
1623531595.090111,172.10.0.2:57424,19,129,65,69
1623531595.127898,172.10.0.2:57424,19,129,65,69
1623531595.164510,172.10.0.2:57424,19,129,65,69
