Timestamp,Sender,retr,retr.total,cwnd,ssthresh
1623529633.991695,172.10.0.2:57400,0,71,35,35
1623529634.028819,172.10.0.2:57400,0,71,35,35
1623529634.069656,172.10.0.2:57400,0,71,35,35
1623529634.105818,172.10.0.2:57400,0,71,35,35
1623529634.143387,172.10.0.2:57400,0,71,36,35
1623529634.194474,172.10.0.2:57400,0,71,36,35
1623529634.233943,172.10.0.2:57400,0,71,36,35
1623529634.272959,172.10.0.2:57400,0,71,36,35
1623529634.321460,172.10.0.2:57400,0,71,36,35
1623529634.358443,172.10.0.2:57400,0,71,36,35
1623529634.393656,172.10.0.2:57400,0,71,36,35
1623529634.436597,172.10.0.2:57400,0,71,36,35
1623529634.478339,172.10.0.2:57400,0,71,36,35
1623529634.515892,172.10.0.2:57400,0,71,36,35
1623529634.552222,172.10.0.2:57400,0,71,37,35
1623529634.588571,172.10.0.2:57400,0,71,37,35
1623529634.631205,172.10.0.2:57400,0,71,37,35
1623529634.666960,172.10.0.2:57400,0,71,37,35
1623529634.702677,172.10.0.2:57400,0,71,37,35
1623529634.740140,172.10.0.2:57400,0,71,37,35
1623529634.776565,172.10.0.2:57400,0,71,37,35
1623529634.818232,172.10.0.2:57400,0,71,37,35
1623529634.853847,172.10.0.2:57400,0,71,37,35
1623529634.891315,172.10.0.2:57400,0,71,37,35
1623529634.927458,172.10.0.2:57400,0,71,37,35
1623529634.976172,172.10.0.2:57400,0,71,37,35
1623529635.014220,172.10.0.2:57400,0,71,38,35
1623529635.050881,172.10.0.2:57400,0,71,38,35
1623529635.088477,172.10.0.2:57400,0,71,38,35
1623529635.136763,172.10.0.2:57400,0,71,38,35
1623529635.172303,172.10.0.2:57400,0,71,38,35
1623529635.208983,172.10.0.2:57400,0,71,38,35
1623529635.248389,172.10.0.2:57400,0,71,38,35
1623529635.287747,172.10.0.2:57400,0,71,38,35
1623529635.324752,172.10.0.2:57400,0,71,38,35
1623529635.367206,172.10.0.2:57400,0,71,38,35
1623529635.403200,172.10.0.2:57400,0,71,38,35
1623529635.438345,172.10.0.2:57400,0,71,38,35
1623529635.474749,172.10.0.2:57400,0,71,39,35
1623529635.510861,172.10.0.2:57400,0,71,39,35
1623529635.546873,172.10.0.2:57400,0,71,39,35
1623529635.582068,172.10.0.2:57400,0,71,39,35
1623529635.619665,172.10.0.2:57400,0,71,39,35
1623529635.657257,172.10.0.2:57400,0,71,39,35
1623529635.693085,172.10.0.2:57400,0,71,39,35
1623529635.729315,172.10.0.2:57400,0,71,39,35
1623529635.763096,172.10.0.2:57400,0,71,39,35
1623529635.798683,172.10.0.2:57400,0,71,39,35
1623529635.837094,172.10.0.2:57400,0,71,39,35
1623529635.873678,172.10.0.2:57400,0,71,39,35
1623529635.909101,172.10.0.2:57400,0,71,39,35
1623529635.946254,172.10.0.2:57400,0,71,40,35
1623529635.982281,172.10.0.2:57400,0,71,40,35
1623529636.022319,172.10.0.2:57400,0,71,40,35
1623529636.064566,172.10.0.2:57400,0,71,40,35
1623529636.099526,172.10.0.2:57400,0,71,40,35
1623529636.135315,172.10.0.2:57400,0,71,40,35
1623529636.171911,172.10.0.2:57400,0,71,40,35
1623529636.208519,172.10.0.2:57400,0,71,40,35
1623529636.244760,172.10.0.2:57400,0,71,40,35
1623529636.287971,172.10.0.2:57400,0,71,40,35
1623529636.324196,172.10.0.2:57400,0,71,40,35
1623529636.360527,172.10.0.2:57400,0,71,40,35
1623529636.395404,172.10.0.2:57400,0,71,41,35
1623529636.432447,172.10.0.2:57400,0,71,41,35
1623529636.468764,172.10.0.2:57400,0,71,41,35
1623529636.509186,172.10.0.2:57400,0,71,41,35
1623529636.548254,172.10.0.2:57400,0,71,41,35
1623529636.584339,172.10.0.2:57400,0,71,41,35
1623529636.620003,172.10.0.2:57400,0,71,41,35
1623529636.658539,172.10.0.2:57400,0,71,41,35
1623529636.700937,172.10.0.2:57400,0,71,41,35
1623529636.736164,172.10.0.2:57400,0,71,41,35
1623529636.771984,172.10.0.2:57400,0,71,41,35
1623529636.807278,172.10.0.2:57400,0,71,41,35
1623529636.843831,172.10.0.2:57400,0,71,41,35
1623529636.881416,172.10.0.2:57400,0,71,41,35
1623529636.916860,172.10.0.2:57400,0,71,42,35
1623529636.956863,172.10.0.2:57400,0,71,42,35
1623529636.992537,172.10.0.2:57400,0,71,42,35
1623529637.029003,172.10.0.2:57400,0,71,42,35
1623529637.068505,172.10.0.2:57400,0,71,42,35
1623529637.105307,172.10.0.2:57400,0,71,42,35
1623529637.142368,172.10.0.2:57400,0,71,42,35
1623529637.181133,172.10.0.2:57400,0,71,42,35
1623529637.216986,172.10.0.2:57400,0,71,42,35
1623529637.255551,172.10.0.2:57400,0,71,42,35
1623529637.291146,172.10.0.2:57400,0,71,42,35
1623529637.326825,172.10.0.2:57400,0,71,42,35
1623529637.365242,172.10.0.2:57400,0,71,42,35
1623529637.400858,172.10.0.2:57400,0,71,42,35
1623529637.436910,172.10.0.2:57400,0,71,43,35
1623529637.472392,172.10.0.2:57400,0,71,43,35
1623529637.509748,172.10.0.2:57400,0,71,43,35
1623529637.546922,172.10.0.2:57400,0,71,43,35
1623529637.586215,172.10.0.2:57400,0,71,43,35
1623529637.622066,172.10.0.2:57400,0,71,43,35
1623529637.661943,172.10.0.2:57400,0,71,43,35
1623529637.700828,172.10.0.2:57400,0,71,43,35
1623529637.740560,172.10.0.2:57400,0,71,43,35
1623529637.775864,172.10.0.2:57400,0,71,43,35
1623529637.811960,172.10.0.2:57400,0,71,43,35
1623529637.847987,172.10.0.2:57400,0,71,43,35
1623529637.884536,172.10.0.2:57400,0,71,43,35
1623529637.922348,172.10.0.2:57400,0,71,43,35
1623529637.963112,172.10.0.2:57400,0,71,44,35
1623529637.998532,172.10.0.2:57400,0,71,44,35
1623529638.036710,172.10.0.2:57400,0,71,44,35
1623529638.072543,172.10.0.2:57400,0,71,44,35
1623529638.110711,172.10.0.2:57400,0,71,44,35
1623529638.146656,172.10.0.2:57400,0,71,44,35
1623529638.183627,172.10.0.2:57400,0,71,44,35
1623529638.219989,172.10.0.2:57400,0,71,44,35
1623529638.259165,172.10.0.2:57400,0,71,44,35
1623529638.296291,172.10.0.2:57400,0,71,44,35
1623529638.334303,172.10.0.2:57400,0,71,44,35
1623529638.372190,172.10.0.2:57400,0,71,44,35
1623529638.408849,172.10.0.2:57400,0,71,44,35
1623529638.449230,172.10.0.2:57400,0,71,44,35
1623529638.484836,172.10.0.2:57400,0,71,45,35
1623529638.520485,172.10.0.2:57400,0,71,45,35
1623529638.558475,172.10.0.2:57400,0,71,45,35
1623529638.595077,172.10.0.2:57400,0,71,45,35
1623529638.632025,172.10.0.2:57400,0,71,45,35
1623529638.670217,172.10.0.2:57400,0,71,45,35
1623529638.708529,172.10.0.2:57400,0,71,45,35
1623529638.746059,172.10.0.2:57400,0,71,45,35
1623529638.782409,172.10.0.2:57400,0,71,45,35
1623529638.820154,172.10.0.2:57400,0,71,45,35
1623529638.858822,172.10.0.2:57400,0,71,45,35
1623529638.895154,172.10.0.2:57400,0,71,45,35
1623529638.931379,172.10.0.2:57400,0,71,45,35
1623529638.974270,172.10.0.2:57400,0,71,45,35
1623529639.010713,172.10.0.2:57400,0,71,46,35
1623529639.048551,172.10.0.2:57400,0,71,46,35
1623529639.088557,172.10.0.2:57400,0,71,46,35
1623529639.127519,172.10.0.2:57400,0,71,46,35
1623529639.163942,172.10.0.2:57400,0,71,46,35
1623529639.204530,172.10.0.2:57400,0,71,46,35
1623529639.240874,172.10.0.2:57400,0,71,46,35
