Timestamp,Sender,retr,retr.total,cwnd,ssthresh
1623532534.073247,172.10.0.2:57436,,,5,3
1623532534.110775,172.10.0.2:57436,,,5,3
1623532534.146983,172.10.0.2:57436,,,6,3
1623532534.184085,172.10.0.2:57436,,,6,3
1623532534.221457,172.10.0.2:57436,,,6,3
1623532534.257395,172.10.0.2:57436,,,5,3
1623532534.295979,172.10.0.2:57436,,,5,3
1623532534.333195,172.10.0.2:57436,,,4,3
1623532534.369624,172.10.0.2:57436,,,4,3
1623532534.405281,172.10.0.2:57436,,,5,3
1623532534.441877,172.10.0.2:57436,,,5,3
1623532534.481086,172.10.0.2:57436,,,5,3
1623532534.517934,172.10.0.2:57436,,,6,3
1623532534.554497,172.10.0.2:57436,,,6,3
1623532534.590525,172.10.0.2:57436,,,6,3
1623532534.627760,172.10.0.2:57436,,,5,3
1623532534.666047,172.10.0.2:57436,,,5,3
1623532534.702731,172.10.0.2:57436,,,4,3
1623532534.739343,172.10.0.2:57436,,,4,3
1623532534.775342,172.10.0.2:57436,,,5,3
1623532534.813641,172.10.0.2:57436,,,5,3
1623532534.851565,172.10.0.2:57436,,,5,3
1623532534.887925,172.10.0.2:57436,,,5,3
1623532534.928563,172.10.0.2:57436,,,6,3
1623532534.966550,172.10.0.2:57436,,,6,3
1623532535.004544,172.10.0.2:57436,,,6,3
1623532535.040698,172.10.0.2:57436,,,5,3
1623532535.077323,172.10.0.2:57436,,,5,3
1623532535.113802,172.10.0.2:57436,,,5,3
1623532535.153843,172.10.0.2:57436,,,4,3
1623532535.190141,172.10.0.2:57436,,,5,3
1623532535.227635,172.10.0.2:57436,,,5,3
1623532535.264110,172.10.0.2:57436,,,5,3
1623532535.300039,172.10.0.2:57436,,,6,3
1623532535.340666,172.10.0.2:57436,,,6,3
1623532535.378031,172.10.0.2:57436,,,6,3
1623532535.414100,172.10.0.2:57436,,,5,3
1623532535.450248,172.10.0.2:57436,,,5,3
1623532535.486182,172.10.0.2:57436,,,4,3
1623532535.525940,172.10.0.2:57436,,,4,3
1623532535.562438,172.10.0.2:57436,,,5,3
1623532535.599119,172.10.0.2:57436,,,5,3
